Year,State,Unemployment
1976,AK,12446
1980,AK,18057
1984,AK,24023
1988,AK,21907
1992,AK,25338
1996,AK,22881
2000,AK,20193
2004,AK,25046
2008,AK,23036
2012,AK,26361
2016,AK,23878
2020,AK,17657
1976,AL,100477
1980,AL,148114
1984,AL,201640
1988,AL,136594
1992,AL,147817
1996,AL,108842
2000,AL,99502
2004,AL,119467
2008,AL,127843
2012,AL,177957
2016,AL,126822
2020,AL,59405
1976,AR,61608
1980,AR,74823
1984,AR,89491
1988,AR,85295
1992,AR,81082
1996,AR,63926
2000,AR,52755
2004,AR,72645
2008,AR,73975
2012,AR,98103
2016,AR,53606
2020,AR,50132
1976,AZ,95832
1980,AZ,81471
1984,AZ,71240
1988,AZ,106592
1992,AZ,141957
1996,AZ,125566
2000,AZ,100001
2004,AZ,138704
2008,AZ,179776
2012,AZ,254884
2016,AZ,178345
2020,AZ,171670
1976,CA,905657
1980,CA,801388
1984,CA,977826
1988,CA,745698
1992,CA,1430843
1996,CA,1130516
2000,CA,826564
2004,CA,1079887
2008,CA,1329167
2012,CA,1945373
2016,CA,1048815
2020,CA,823824
1976,CO,73512
1980,CO,88193
1984,CO,93680
1988,CO,109487
1992,CO,112834
1996,CO,89840
2000,CO,64420
2004,CO,141382
2008,CO,133553
2012,CO,219628
2016,CO,90741
2020,CO,84380
1976,CT,133289
1980,CT,90019
1984,CT,77852
1988,CT,50283
1992,CT,133098
1996,CT,90994
2000,CT,37184
2004,CT,90332
2008,CT,106062
2012,CT,158008
2016,CT,92178
2020,CT,70295
1976,DC,28595
1980,DC,23999
1984,DC,28389
1988,DC,16526
1992,DC,27166
1996,DC,24489
2000,DC,17688
2004,DC,25337
2008,DC,22932
2012,DC,32800
2016,DC,24652
2020,DC,20533
1976,DE,22600
1980,DE,21355
1984,DE,19133
1988,DE,10405
1992,DE,19206
1996,DE,19269
2000,DE,14838
2004,DE,18094
2008,DE,22675
2012,DE,31517
2016,DE,21243
2020,DE,21021
1976,FL,334212
1980,FL,257662
1984,FL,339834
1988,FL,315893
1992,FL,555028
1996,FL,378656
2000,FL,297422
2004,FL,313255
2008,FL,521451
2012,FL,807810
2016,FL,482371
2020,FL,342027
1976,GA,185052
1980,GA,159937
1984,GA,169217
1988,GA,176529
1992,GA,225715
1996,GA,175296
2000,GA,147744
2004,GA,228064
2008,GA,329226
2012,GA,431723
2016,GA,268528
2020,GA,173827
1976,HI,37676
1980,HI,21934
1984,HI,25780
1988,HI,15954
1992,HI,23887
1996,HI,35175
2000,HI,25685
2004,HI,20162
2008,HI,25924
2012,HI,38476
2016,HI,19620
2020,HI,13780
1976,IA,54852
1980,IA,84677
1984,IA,99813
1988,IA,69235
1992,IA,68366
1996,IA,57829
2000,IA,42924
2004,IA,72707
2008,IA,70485
2012,IA,84101
2016,IA,61177
2020,IA,49313
1976,ID,21041
1980,ID,32417
1984,ID,33337
1988,ID,29636
1992,ID,34570
1996,ID,33421
2000,ID,30756
2004,ID,34160
2008,ID,38320
2012,ID,57061
2016,ID,29850
2020,ID,22827
1976,IL,336070
1980,IL,454292
1984,IL,511932
1988,IL,392996
1992,IL,474805
1996,IL,330272
2000,IL,288829
2004,IL,392230
2008,IL,432506
2012,IL,595943
2016,IL,386372
2020,IL,221025
1976,IN,147091
1980,IN,255153
1984,IN,222512
1988,IN,144202
1992,IN,174029
1996,IN,122841
2000,IN,95316
2004,IN,171287
2008,IN,192932
2012,IN,260910
2016,IN,145589
2020,IN,106458
1976,KS,44570
1980,KS,52054
1984,KS,60060
1988,KS,57240
1992,KS,59822
1996,KS,58118
2000,KS,53045
2004,KS,80510
2008,KS,68893
2012,KS,85280
2016,KS,60073
2020,KS,47148
1976,KY,81034
1980,KY,133338
1984,KY,154545
1988,KY,127675
1992,KY,122366
1996,KY,101344
2000,KY,81247
2004,KY,108344
2008,KY,133027
2012,KY,169055
2016,KY,101474
2020,KY,85765
1976,LA,101644
1980,LA,125294
1984,LA,197876
1988,LA,204013
1992,LA,150748
1996,LA,128312
2000,LA,104320
2004,LA,115658
2008,LA,96324
2012,LA,141403
2016,LA,129025
2020,LA,109270
1976,MA,265216
1980,MA,165722
1984,MA,145429
1988,MA,103960
1992,MA,279877
1996,MA,149331
2000,MA,94453
2004,MA,173699
2008,MA,184375
2012,MA,235415
2016,MA,145729
2020,MA,106651
1976,MD,125476
1980,MD,141561
1984,MD,119918
1988,MD,102984
1992,MD,173356
1996,MD,135611
2000,MD,98886
2004,MD,132891
2008,MD,137339
2012,MD,214445
2016,MD,135486
2020,MD,111061
1976,ME,41233
1980,ME,37806
1984,ME,33576
1988,ME,21973
1992,ME,47033
1996,ME,34830
2000,ME,22523
2004,ME,31911
2008,ME,37811
2012,ME,50409
2016,ME,26199
2020,ME,20773
1976,MI,374368
1980,MI,532428
1984,MI,484612
1988,MI,343486
1992,MI,423321
1996,MI,239592
2000,MI,190206
2004,MI,350947
2008,MI,403824
2012,MI,423665
2016,MI,242522
2020,MI,183525
1976,MN,107251
1980,MN,121422
1984,MN,139369
1988,MN,100076
1992,MN,124273
1996,MN,100956
2000,MN,84899
2004,MN,132562
2008,MN,158681
2012,MN,166599
2016,MN,116798
2020,MN,98843
1976,MO,131516
1980,MO,167710
1984,MO,175361
1988,MO,147541
1992,MO,163216
1996,MO,136398
2000,MO,101373
2004,MO,175955
2008,MO,190348
2012,MO,215833
2016,MO,139672
2020,MO,110541
1976,MS,62875
1980,MS,77767
1984,MS,115156
1988,MS,97793
1992,MS,95109
1996,MS,75734
2000,MS,69923
2004,MS,80677
2008,MS,86928
2012,MS,117447
2016,MS,75956
2020,MS,72217
1976,MT,19669
1980,MT,23516
1984,MT,30280
1988,MT,26775
1992,MT,28094
1996,MT,24890
2000,MT,22675
2004,MT,21564
2008,MT,24214
2012,MT,29407
2016,MT,22501
2020,MT,19826
1976,NC,161671
1980,NC,183374
1984,NC,199851
1988,NC,123209
1992,NC,224957
1996,NC,168683
2000,NC,155054
2004,NC,251375
2008,NC,284529
2012,NC,448468
2016,NC,246790
2020,NC,179605
1976,ND,10569
1980,ND,14846
1984,ND,17314
1988,ND,15211
1992,ND,14505
1996,ND,10897
2000,ND,10100
2004,ND,11912
2008,ND,11549
2012,ND,11629
2016,ND,12772
2020,ND,9148
1976,NE,22609
1980,NE,29070
1984,NE,35518
1988,NE,28081
1992,NE,24178
1996,NE,24580
2000,NE,26289
2004,NE,37837
2008,NE,32225
2012,NE,39443
2016,NE,31174
2020,NE,30755
1976,NH,25638
1980,NH,21111
1984,NH,21876
1988,NH,14074
1992,NH,45111
1996,NH,23827
2000,NH,18256
2004,NH,27249
2008,NH,27966
2012,NH,40372
2016,NH,21594
2020,NH,19904
1976,NJ,345208
1980,NJ,257059
1984,NJ,238207
1988,NJ,149175
1992,NJ,345133
1996,NJ,256429
2000,NJ,156603
2004,NJ,213917
2008,NJ,245164
2012,NJ,429492
2016,NJ,221925
2020,NJ,167403
1976,NM,42586
1980,NM,42918
1984,NM,48492
1988,NM,51865
1992,NM,53956
1996,NM,60985
2000,NM,42593
2004,NM,49445
2008,NM,40267
2012,NM,64792
2016,NM,63908
2020,NM,49446
1976,NV,28977
1980,NV,27331
1984,NV,38293
1988,NV,30385
1992,NV,49636
1996,NV,45223
2000,NV,44112
2004,NV,52425
2008,NV,94523
2012,NV,158797
2016,NV,82029
2020,NV,58633
1976,NY,783772
1980,NY,594201
1984,NY,586117
1988,NY,362433
1992,NY,759924
1996,NY,549741
2000,NY,412323
2004,NY,542319
2008,NY,521515
2012,NY,828140
2016,NY,464854
2020,NY,359918
1976,OH,367525
1980,OH,422510
1984,OH,483695
1988,OH,320577
1992,OH,406762
1996,OH,282996
2000,OH,237468
2004,OH,365612
2008,OH,396179
2012,OH,422948
2016,OH,291383
2020,OH,267554
1976,OK,66640
1980,OK,56450
1984,OK,105088
1988,OK,96391
1992,OK,89687
1996,OK,63469
2000,OK,49749
2004,OK,79608
2008,OK,62990
2012,OK,91412
2016,OK,84963
2020,OK,56894
1976,OR,101616
1980,OR,108655
1984,OR,124087
1988,OR,81883
1992,OR,113275
1996,OR,95296
2000,OR,94396
2004,OR,135288
2008,OR,122370
2012,OR,173202
2016,OR,96966
2020,OR,71746
1976,PA,411658
1980,PA,443146
1984,PA,490350
1988,PA,296048
1992,PA,439540
1996,PA,328708
2000,PA,257901
2004,PA,333602
2008,PA,344820
2012,PA,493833
2016,PA,344765
2020,PA,315155
1976,RI,35293
1980,RI,34145
1984,RI,25946
1988,RI,15244
1992,RI,47644
1996,RI,27023
2000,RI,21748
2004,RI,29168
2008,RI,43170
2012,RI,57334
2016,RI,28914
2020,RI,21243
1976,SC,91110
1980,SC,93888
1984,SC,103891
1988,SC,76920
1992,SC,121276
1996,SC,106963
2000,SC,73264
2004,SC,151856
2008,SC,158001
2012,SC,197457
2016,SC,112176
2020,SC,62138
1976,SD,10293
1980,SD,15668
1984,SD,14925
1988,SD,14639
1992,SD,12503
1996,SD,12812
2000,SD,10358
2004,SD,15338
2008,SD,13617
2012,SD,18123
2016,SD,13738
2020,SD,13462
1976,TN,113403
1980,TN,149866
1984,TN,196550
1988,TN,135041
1992,TN,159121
1996,TN,142621
2000,TN,110351
2004,TN,154925
2008,TN,199791
2012,TN,246786
2016,TN,149321
2020,TN,124263
1976,TX,333030
1980,TX,354182
1984,TX,485059
1988,TX,620092
1992,TX,691654
1996,TX,559597
2000,TX,455776
2004,TX,660426
2008,TX,570078
2012,TX,845635
2016,TX,620479
2020,TX,505056
1976,UT,29441
1980,UT,39615
1984,UT,46532
1988,UT,37666
1992,UT,42887
1996,UT,35090
2000,UT,38160
2004,UT,61631
2008,UT,46293
2012,UT,64395
2016,UT,50285
2020,UT,39910
1976,VA,137594
1980,VA,131236
1984,VA,142374
1988,VA,120348
1992,VA,208330
1996,VA,149150
2000,VA,82171
2004,VA,155746
2008,VA,176846
2012,VA,250711
2016,VA,169912
2020,VA,109989
1976,VT,18026
1980,VT,14793
1984,VT,13273
1988,VT,9021
1992,VT,19430
1996,VT,13951
2000,VT,9414
2004,VT,12780
2008,VT,16116
2012,VT,17022
2016,VT,10834
2020,VT,8464
1976,WA,142123
1980,WA,156056
1984,WA,193278
1988,WA,146584
1992,WA,190412
1996,WA,170837
2000,WA,157764
2004,WA,200680
2008,WA,183759
2012,WA,265508
2016,WA,190045
2020,WA,157051
1976,WI,117895
1980,WI,172888
1984,WI,174663
1988,WI,111705
1992,WI,137370
1996,WI,105066
2000,WI,101225
2004,WI,151011
2008,WI,154545
2012,WI,212759
2016,WI,121821
2020,WI,102166
1976,WV,51036
1980,WV,78055
1984,WV,106949
1988,WV,73685
1992,WV,88392
1996,WV,60448
2000,WV,44619
2004,WV,45459
2008,WV,38244
2012,WV,58541
2016,WV,47900
2020,WV,40305
1976,WY,6962
1980,WY,9022
1984,WY,16068
1988,WY,15410
1992,WY,12946
1996,WY,12742
2000,WY,9973
2004,WY,10523
2008,WY,8726
2012,WY,16660
2016,WY,16014
2020,WY,13280
